Step,Loss,Amplitude,Weights (Layer 1),Gradients (Layer 1),Outputs
1,0.14455709,1.1790557,[-0.41394114 -0.45119703 -0.8055625  -0.64916897  0.0385867 ],[ 0.04019833 -0.02848642  0.05907168  0.06347853  0.        ],"[ 0.01765792  0.23366468  0.23366468  0.23366468  0.23366468  0.23366468
  0.23366468  0.23366468  0.23366468  0.23366468  0.07331823 -0.1214443
 -0.5001166  -0.6753771  -0.7721384  -0.7477195  -0.796959   -0.5680559
 -0.43792063 -0.03594433  0.22898285  0.23366468  0.23366468  0.23366468
  0.23366468  0.23366468  0.23366468  0.23366468  0.23366468  0.23366468
 -0.1839311  -0.2566595  -0.53723264 -0.7103441  -0.71250504 -0.945391
 -0.77735394 -0.42111605 -0.3443573  -0.12049864  0.20743077  0.23366468
  0.23366468  0.23366468  0.23366468  0.23366468  0.23366468  0.23366468
  0.23366468  0.23366468 -0.10322286 -0.4013899  -0.6597034  -0.4340589
 -0.74659246 -0.6939517  -0.77082676 -0.5353871  -0.25841564 -0.08741648
  0.23366468  0.23366468  0.23366468  0.23366468  0.23366468  0.23366468
  0.23366468  0.23366468  0.23366468  0.1002254  -0.16946362 -0.17426224
 -0.59881085 -0.6933466  -0.7400384  -0.68131286 -0.71419686 -0.44741398
 -0.17363499 -0.05890791  0.23366468  0.23366468  0.23366468  0.23366468
  0.23366468  0.23366468  0.23366468  0.23366468  0.23366468  0.03043194
 -0.32979757 -0.45125622 -0.65630955 -0.6893232  -0.67427444 -0.8457969
 -0.5966052  -0.35057336 -0.168296    0.04162778]"
2,0.1295345,1.6629424,[-0.3900108  -0.46286392 -0.77240205 -0.61376715  0.0385867 ],[-0.0478607   0.02333376 -0.06632094 -0.0708037   0.        ],"[-0.11103162  0.24352641  0.26338714  0.26338714  0.26338714  0.26338714
  0.26338714  0.26338714  0.26338714  0.26338714 -0.04363444 -0.29050872
 -0.8000437  -1.0360122  -1.1662902  -1.1334128  -1.1997085  -0.89151645
 -0.71630394 -0.17593673  0.15533915  0.26338714  0.26338714  0.26338714
  0.26338714  0.26338714  0.26338714  0.26338714  0.26338714  0.26338714
 -0.37037668 -0.4722564  -0.85001624 -1.0830911  -1.0860007  -1.3995553
 -1.1733122  -0.6936785  -0.59033155 -0.28930005  0.11875793  0.26338714
  0.26338714  0.26338714  0.26338714  0.26338714  0.26338714  0.26338714
  0.26338714  0.25413755 -0.2642617  -0.6671194  -1.0149093  -0.7111045
 -1.1318954  -1.0610207  -1.1645242  -0.84753144 -0.4746208  -0.24078724
  0.20654145  0.26338714  0.26338714  0.26338714  0.26338714  0.26338714
  0.26338714  0.26338714  0.26338714 -0.01105341 -0.35188505 -0.35801843
 -0.9329243  -1.060206   -1.1230713  -1.0440038  -1.0882784  -0.7290857
 -0.3572167  -0.2037426   0.21651149  0.26338714  0.26338714  0.26338714
  0.26338714  0.26338714  0.26338714  0.26338714  0.26338714 -0.09556392
 -0.5707284  -0.7342589  -1.0103399  -1.054789   -1.0345275  -1.2654631
 -0.92995465 -0.59870076 -0.35039267 -0.08200729]"
3,0.39373338,0.88037235,[-0.48332238 -0.39784682 -0.90979034 -0.76090646  0.0385867 ],[ 0.18662317 -0.13003421  0.27477655  0.29427862  0.        ],"[ 0.616916    0.6186415   0.6186415   0.6186415   0.6186415   0.6186415
  0.6186415   0.6186415   0.6186415   0.6186415   0.6186415   0.53158855
  0.16625339 -0.00220168 -0.09520561 -0.07173479 -0.1190623   0.10095203
  0.22603413  0.6006538   0.6186415   0.6186415   0.6186415   0.6186415
  0.6186415   0.6186415   0.6186415   0.6186415   0.6186415   0.6186415
  0.4715014   0.40025678  0.13057852 -0.03581083 -0.03788793 -0.26173085
 -0.10021865  0.24218622  0.31596428  0.5324979   0.6186415   0.6186415
  0.6186415   0.6186415   0.6186415   0.6186415   0.6186415   0.6186415
  0.6186415   0.6186415   0.5491102   0.2611464   0.0128634   0.22974592
 -0.07065165 -0.02005506 -0.09394491  0.13235247  0.39856884  0.5674375
  0.6186415   0.6186415   0.6186415   0.6186415   0.6186415   0.6186415
  0.6186415   0.6186415   0.6186415   0.6186415   0.48541325  0.4807989
  0.07139146 -0.01947343 -0.0643521  -0.00790685 -0.03951395  0.21690938
  0.48140204  0.593687    0.6186415   0.6186415   0.6186415   0.6186415
  0.6186415   0.6186415   0.6186415   0.6186415   0.6186415   0.6186415
  0.32995868  0.2132164   0.0161255  -0.01560616 -0.00114179 -0.16600394
  0.07351148  0.3099896   0.48653606  0.6186415 ]"
4,1.8837304,3.5530107,[-0.00249335 -0.44528162 -0.29192185 -0.12453407  0.0385867 ],[-0.96165806  0.0948696  -1.235737   -1.2727448   0.        ],"[-1.0646045  -0.42209342 -0.05733541 -0.05733541 -0.05733541 -0.05733541
 -0.05733541 -0.05733541 -0.05733541 -0.19034433 -0.9522667  -1.3651146
 -2.4187372  -2.8878474  -3.14676    -3.08142    -3.2131739  -2.6006799
 -2.2414777  -1.1727887  -0.6206169  -0.18905285 -0.05733541 -0.05733541
 -0.05733541 -0.05733541 -0.05733541 -0.05733541 -0.05733541 -0.2787418
 -1.5197948  -1.7219396  -2.5182033  -2.9814115  -2.9871936  -3.610346
 -3.1607156  -2.1935844  -1.9736067  -1.3627737  -0.68159056 -0.05733541
 -0.05733541 -0.05733541 -0.05733541 -0.05733541 -0.05733541 -0.05733541
 -0.32353517 -0.393617   -1.3200091  -2.1372733  -2.8459082  -2.2304716
 -3.0784042  -2.937549   -3.14325    -2.513265   -1.7269794  -1.2808816
 -0.52134764 -0.05733541 -0.05733541 -0.05733541 -0.05733541 -0.05733541
 -0.05733541 -0.05733541 -0.05733541 -0.89796054 -1.4839821  -1.4958608
 -2.6829727  -2.9359303  -3.060867   -2.9037304  -2.9917207  -2.2685342
 -1.4943081  -1.2191356  -0.49459168 -0.05733541 -0.05733541 -0.05733541
 -0.05733541 -0.05733541 -0.05733541 -0.05733541 -0.1070435  -1.038823
 -1.9318243  -2.2794843  -2.8368268  -2.925164   -2.8848968  -3.343854
 -2.677071   -1.991445   -1.4810917  -1.0162268 ]"
5,2.6535273,0.008727193,[-0.00249335 -0.42468208 -0.29192185 -0.12453407  0.0385867 ],[ 0.         -0.04119908  0.          0.          0.        ],"[1.4680722 1.4680722 1.4680722 1.4680722 1.4680722 1.4680722 1.4680722
 1.4680722 1.4680722 1.4680722 1.4680722 1.4680722 1.4680722 1.4699745
 1.4724202 1.4718031 1.4730476 1.4680722 1.4680722 1.4680722 1.4680722
 1.4680722 1.4680722 1.4680722 1.4680722 1.4680722 1.4680722 1.4680722
 1.4680722 1.4680722 1.4680722 1.4680722 1.4680722 1.4708583 1.4709129
 1.4767994 1.4725521 1.4680722 1.4680722 1.4680722 1.4680722 1.4680722
 1.4680722 1.4680722 1.4680722 1.4680722 1.4680722 1.4680722 1.4680722
 1.4680722 1.4680722 1.4680722 1.4695784 1.4680722 1.4717746 1.4704441
 1.4723871 1.4680722 1.4680722 1.4680722 1.4680722 1.4680722 1.4680722
 1.4680722 1.4680722 1.4680722 1.4680722 1.4680722 1.4680722 1.4680722
 1.4680722 1.4680722 1.4680722 1.4704287 1.4716089 1.4701246 1.4709557
 1.4680722 1.4680722 1.4680722 1.4680722 1.4680722 1.4680722 1.4680722
 1.4680722 1.4680722 1.4680722 1.4680722 1.4680722 1.4680722 1.4680722
 1.4680722 1.4694926 1.470327  1.4699466 1.474282  1.4680722 1.4680722
 1.4680722 1.4680722]"
6,0.49500045,0.0,[-0.00249335 -0.42468208 -0.29192185 -0.12453407  0.0385867 ],[0. 0. 0. 0. 0.],"[-0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283
 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283
 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283
 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283
 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283
 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283
 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283
 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283
 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283
 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283
 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283
 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283
 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283
 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283
 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283
 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283 -0.00068283
 -0.00068283 -0.00068283 -0.00068283 -0.00068283]"
7,0.495,0.0,[-0.00249335 -0.42468208 -0.29192185 -0.12453407  0.0385867 ],[0. 0. 0. 0. 0.],"[2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09
 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09
 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09
 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09
 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09
 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09
 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09
 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09
 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09
 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09
 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09
 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09
 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09
 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09
 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09
 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09
 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09
 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09
 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09
 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09 2.8521754e-09]"
8,0.495,0.0,[-0.00249335 -0.42468208 -0.29192185 -0.12453407  0.0385867 ],[0. 0. 0. 0. 0.],"[7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09
 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09
 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09
 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09
 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09
 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09
 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09
 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09
 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09
 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09
 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09
 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09
 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09
 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09
 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09
 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09
 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09
 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09
 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09
 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09 7.945928e-09]"
9,0.495,0.0,[-0.00249335 -0.42468208 -0.29192185 -0.12453407  0.0385867 ],[0. 0. 0. 0. 0.],"[1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08
 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08
 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08
 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08
 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08
 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08
 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08
 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08
 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08
 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08
 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08
 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08
 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08
 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08
 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08
 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08
 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08
 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08
 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08
 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08 1.2988743e-08]"
10,0.495,0.0,[-0.00249335 -0.42468208 -0.29192185 -0.12453407  0.0385867 ],[0. 0. 0. 0. 0.],"[1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08
 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08
 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08
 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08
 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08
 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08
 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08
 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08
 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08
 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08
 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08
 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08
 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08
 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08
 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08
 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08
 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08
 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08
 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08
 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08 1.798113e-08]"
