Step,Loss,Weights (Layer 1),Gradients (Layer 1),Outputs
1,0.50963855,[[ 0.4832154   0.6997368  -0.07053566  0.4069397  -0.4400261 ]],[[-0.09367995  0.08318014 -0.0666189   0.05899956  0.06330322]],"[[-0.00618233]
 [-0.00627161]
 [-0.04121537]
 [-0.05689605]
 [-0.07411028]
 [-0.07306976]
 [-0.08786792]
 [-0.06017793]
 [-0.04119354]
 [-0.01686116]
 [-0.0030968 ]
 [-0.01523444]
 [-0.02655013]
 [-0.04410699]
 [-0.04413885]
 [-0.04916227]
 [-0.04140167]
 [-0.03678873]
 [-0.02106037]
 [-0.00415147]
 [-0.00257628]
 [-0.02429105]
 [-0.03472774]
 [-0.05272932]
 [-0.08046834]
 [-0.06860539]
 [-0.06737234]
 [-0.06048655]
 [-0.0376559 ]
 [-0.01728009]
 [-0.00884889]
 [-0.00828202]
 [-0.02808676]
 [-0.040567  ]
 [-0.05421182]
 [-0.05246632]
 [-0.04067823]
 [-0.03478417]
 [-0.02502348]
 [-0.0084957 ]
 [-0.002921  ]
 [-0.03658258]
 [-0.05330548]
 [-0.06348251]
 [-0.07007255]
 [-0.06966972]
 [-0.07942565]
 [-0.03488277]
 [-0.02901526]
 [-0.00992033]
 [-0.00720871]
 [-0.02654112]
 [-0.02642232]
 [-0.03993656]
 [-0.04366844]
 [-0.05429548]
 [-0.04290469]
 [-0.03266414]
 [-0.01906096]
 [-0.00979117]
 [-0.02154784]
 [-0.04301822]
 [-0.04714585]
 [-0.06440754]
 [-0.06667145]
 [-0.06435575]
 [-0.06829978]
 [-0.04804003]
 [-0.02578958]
 [-0.00448771]
 [-0.01158264]
 [-0.02450081]
 [-0.03300224]
 [-0.04370118]
 [-0.05074679]
 [-0.0392443 ]
 [-0.0460978 ]
 [-0.03405171]
 [-0.025755  ]
 [-0.00122597]
 [-0.02069607]
 [-0.04003304]
 [-0.0553624 ]
 [-0.07744735]
 [-0.06730878]
 [-0.08080246]
 [-0.06786271]
 [-0.03596921]
 [-0.02122551]
 [-0.00078422]
 [-0.01138531]
 [-0.03120105]
 [-0.0425909 ]
 [-0.04785595]
 [-0.04320817]
 [-0.03821703]
 [-0.04232956]
 [-0.01885413]
 [-0.0152382 ]
 [-0.00241207]]"
2,0.4966236,[[ 0.4916978   0.6926141  -0.06396566  0.40125883 -0.4464402 ]],[[-0.08482392  0.07122698 -0.06570001  0.05680859  0.06414079]],"[[-0.00095274]
 [ 0.00633114]
 [-0.02079511]
 [-0.03406328]
 [-0.04862904]
 [-0.04774861]
 [-0.06027   ]
 [-0.03684022]
 [-0.02077665]
 [-0.00018789]
 [ 0.00748826]
 [-0.01047617]
 [-0.02238104]
 [-0.04085205]
 [-0.04088556]
 [-0.04617054]
 [-0.03800587]
 [-0.03315274]
 [-0.01660544]
 [ 0.00157726]
 [ 0.00356037]
 [-0.00647466]
 [-0.01530563]
 [-0.0305376 ]
 [-0.05400888]
 [-0.04397108]
 [-0.04292775]
 [-0.03710135]
 [-0.01778329]
 [-0.00054236]
 [-0.00375814]
 [-0.00316175]
 [-0.02399768]
 [-0.03712774]
 [-0.051483  ]
 [-0.04964662]
 [-0.03724476]
 [-0.03104381]
 [-0.0207749 ]
 [-0.00338656]
 [ 0.00752985]
 [-0.01687511]
 [-0.03102514]
 [-0.03963638]
 [-0.04521253]
 [-0.04487167]
 [-0.05312661]
 [-0.01543681]
 [-0.01047203]
 [ 0.00438225]
 [-0.00203256]
 [-0.02237156]
 [-0.02224658]
 [-0.03646448]
 [-0.04039066]
 [-0.05157103]
 [-0.03958714]
 [-0.0288134 ]
 [-0.01450193]
 [ 0.00445123]
 [-0.0041535 ]
 [-0.02232059]
 [-0.02581317]
 [-0.0404191 ]
 [-0.04233469]
 [-0.04037527]
 [-0.0437125 ]
 [-0.02656978]
 [-0.00774265]
 [ 0.00715924]
 [-0.00663423]
 [-0.02022501]
 [-0.0291691 ]
 [-0.04042511]
 [-0.04783756]
 [-0.03573616]
 [-0.04294651]
 [-0.03027321]
 [-0.02154451]
 [ 0.00526036]
 [-0.00343278]
 [-0.01979469]
 [-0.03276558]
 [-0.05145269]
 [-0.04287397]
 [-0.0542916 ]
 [-0.04334267]
 [-0.01635608]
 [-0.00388077]
 [ 0.00602195]
 [-0.00642662]
 [-0.02727412]
 [-0.03925702]
 [-0.0447962 ]
 [-0.03990642]
 [-0.03465541]
 [-0.03898208]
 [-0.01428433]
 [-0.01048013]
 [ 0.00376711]]"
3,0.4859618,[[ 0.4994315   0.6865497  -0.05750593  0.39561835 -0.45300663]],[[-0.07733702  0.06064365 -0.06459726  0.05640479  0.06566448]],"[[ 0.0028529 ]
 [ 0.01257348]
 [-0.0056326 ]
 [-0.01703845]
 [-0.02955979]
 [-0.02880294]
 [-0.03956686]
 [-0.01942563]
 [-0.00561672]
 [ 0.00852125]
 [ 0.01285037]
 [-0.00860391]
 [-0.0212838 ]
 [-0.0409573 ]
 [-0.040993  ]
 [-0.04662203]
 [-0.03792584]
 [-0.03275676]
 [-0.0151322 ]
 [ 0.00550734]
 [ 0.0075662 ]
 [ 0.00506798]
 [-0.00091361]
 [-0.01400764]
 [-0.03418453]
 [-0.02555562]
 [-0.02465874]
 [-0.01965012]
 [-0.0030435 ]
 [ 0.00832654]
 [-0.00063243]
 [ 0.00010851]
 [-0.02300568]
 [-0.03699053]
 [-0.05228036]
 [-0.05032441]
 [-0.03711517]
 [-0.03051053]
 [-0.0195731 ]
 [-0.00017078]
 [ 0.01283227]
 [-0.00226279]
 [-0.01442674]
 [-0.02182934]
 [-0.02662282]
 [-0.0263298 ]
 [-0.03342612]
 [-0.00102637]
 [ 0.00287225]
 [ 0.01174723]
 [ 0.00151138]
 [-0.0212737 ]
 [-0.02114059]
 [-0.03628409]
 [-0.04046588]
 [-0.05237411]
 [-0.03961004]
 [-0.02813491]
 [-0.01289175]
 [ 0.01180726]
 [ 0.00634297]
 [-0.00694396]
 [-0.00994632]
 [-0.02250219]
 [-0.02414891]
 [-0.0224645 ]
 [-0.02533333]
 [-0.01059673]
 [ 0.00437149]
 [ 0.0129553 ]
 [-0.00420557]
 [-0.01898741]
 [-0.02851377]
 [-0.04050257]
 [-0.04839759]
 [-0.03550836]
 [-0.04318811]
 [-0.02968976]
 [-0.02039282]
 [ 0.00977112]
 [ 0.00673886]
 [-0.00477259]
 [-0.0159229 ]
 [-0.03198712]
 [-0.02461249]
 [-0.03442756]
 [-0.02501542]
 [-0.00181663]
 [ 0.00649278]
 [ 0.01025252]
 [-0.00394765]
 [-0.02649543]
 [-0.03925844]
 [-0.04515822]
 [-0.03995011]
 [-0.03435725]
 [-0.03896559]
 [-0.01265998]
 [-0.00860812]
 [ 0.00778083]]"
4,0.47690246,[[ 0.5060499   0.68193865 -0.05126667  0.38979885 -0.45979366]],[[-0.06618405  0.04611062 -0.06239256  0.05819513  0.06787044]],"[[ 0.00477771]
 [ 0.01657384]
 [ 0.00434186]
 [-0.00385194]
 [-0.01474719]
 [-0.01408863]
 [-0.02345468]
 [-0.00592911]
 [ 0.00435079]
 [ 0.01431031]
 [ 0.01612037]
 [-0.00766269]
 [-0.02238616]
 [-0.04355751]
 [-0.04359592]
 [-0.04965354]
 [-0.04029524]
 [-0.03473261]
 [-0.01566932]
 [ 0.00756873]
 [ 0.00996291]
 [ 0.01126917]
 [ 0.00699732]
 [-0.00121473]
 [-0.01877134]
 [-0.01126303]
 [-0.01048261]
 [-0.00612443]
 [ 0.00579879]
 [ 0.01413883]
 [ 0.00111303]
 [ 0.00189209]
 [-0.02423913]
 [-0.03928873]
 [-0.05574266]
 [-0.0536378 ]
 [-0.03942286]
 [-0.03231537]
 [-0.02054521]
 [ 0.00159843]
 [ 0.0159079 ]
 [ 0.00623811]
 [-0.0015794 ]
 [-0.00802065]
 [-0.01219162]
 [-0.01193668]
 [-0.0181114 ]
 [ 0.00693386]
 [ 0.0093355 ]
 [ 0.01616736]
 [ 0.00336714]
 [-0.02237529]
 [-0.02223204]
 [-0.03852851]
 [-0.04302868]
 [-0.05584355]
 [-0.04210768]
 [-0.02975887]
 [-0.01292151]
 [ 0.0161921 ]
 [ 0.012392  ]
 [ 0.00360393]
 [ 0.00191445]
 [-0.00860612]
 [-0.01003899]
 [-0.00857333]
 [-0.01106959]
 [ 0.00154845]
 [ 0.0106558 ]
 [ 0.01639397]
 [-0.00264398]
 [-0.01991493]
 [-0.03016658]
 [-0.04306815]
 [-0.05156427]
 [-0.03769372]
 [-0.04595817]
 [-0.03143211]
 [-0.02142733]
 [ 0.01212566]
 [ 0.01274063]
 [ 0.0048258 ]
 [-0.00288126]
 [-0.01685929]
 [-0.01044237]
 [-0.01898281]
 [-0.01079296]
 [ 0.00648917]
 [ 0.01252393]
 [ 0.01264556]
 [-0.00237279]
 [-0.02799458]
 [-0.04172929]
 [-0.04807827]
 [-0.04247364]
 [-0.03645496]
 [-0.04141416]
 [-0.01263726]
 [-0.00766786]
 [ 0.0102594 ]]"
5,0.46912575,[[ 0.510605    0.6797692  -0.04564162  0.38348874 -0.46686772]],[[-0.04555102  0.02169426 -0.05625052  0.06310105  0.07074049]],"[[ 5.37978858e-03]
 [ 1.89821348e-02]
 [ 1.01061789e-02]
 [ 4.41745576e-03]
 [-3.12865153e-03]
 [-2.54854932e-03]
 [-1.07987691e-02]
 [ 3.22683528e-03]
 [ 1.01140942e-02]
 [ 1.85825136e-02]
 [ 1.75073035e-02]
 [-7.84581341e-03]
 [-2.43786201e-02]
 [-4.81040329e-02]
 [-4.81457338e-02]
 [-5.47202006e-02]
 [-4.45634201e-02]
 [-3.85261774e-02]
 [-1.63577981e-02]
 [ 8.34697578e-03]
 [ 1.11621711e-02]
 [ 1.62460692e-02]
 [ 1.24597903e-02]
 [ 5.92908449e-03]
 [-6.67336583e-03]
 [-5.95692545e-05]
 [ 6.16807491e-04]
 [ 3.11487634e-03]
 [ 1.13974977e-02]
 [ 1.85125377e-02]
 [ 1.48380361e-03]
 [ 2.31203996e-03]
 [-2.66237110e-02]
 [-4.34710309e-02]
 [-6.13288581e-02]
 [-5.90444133e-02]
 [-4.36166041e-02]
 [-3.59026864e-02]
 [-2.21481100e-02]
 [ 1.99984014e-03]
 [ 1.73567776e-02]
 [ 1.17868828e-02]
 [ 5.72006032e-03]
 [ 2.02798471e-03]
 [-8.77544284e-04]
 [-6.52952120e-04]
 [-6.09206408e-03]
 [ 1.24035515e-02]
 [ 1.45321973e-02]
 [ 1.93403754e-02]
 [ 3.88019439e-03]
 [-2.43654512e-02]
 [-2.41918899e-02]
 [-4.26459387e-02]
 [-4.75300774e-02]
 [-6.14383593e-02]
 [-4.65305150e-02]
 [-3.31280716e-02]
 [-1.34365559e-02]
 [ 1.93276946e-02]
 [ 1.72412638e-02]
 [ 9.45212971e-03]
 [ 7.95468409e-03]
 [ 1.69239193e-03]
 [ 8.71080905e-04]
 [ 1.71118975e-03]
 [ 1.10823661e-04]
 [ 7.63028488e-03]
 [ 1.57024208e-02]
 [ 1.90907754e-02]
 [-2.51034088e-03]
 [-2.13844515e-02]
 [-3.35705578e-02]
 [-4.75729331e-02]
 [-5.67939579e-02]
 [-4.17399332e-02]
 [-5.07095382e-02]
 [-3.49440612e-02]
 [-2.32168958e-02]
 [ 1.32868811e-02]
 [ 1.75502729e-02]
 [ 1.05351117e-02]
 [ 4.97383811e-03]
 [-4.98911552e-03]
 [ 6.39865175e-04]
 [-6.85965829e-03]
 [ 3.54491174e-04]
 [ 1.20094102e-02]
 [ 1.73581988e-02]
 [ 1.38521791e-02]
 [-2.22203322e-03]
 [-3.11738625e-02]
 [-4.61198464e-02]
 [-5.30105308e-02]
 [-4.69276905e-02]
 [-4.03954834e-02]
 [-4.57778126e-02]
 [-1.31343678e-02]
 [-7.85131007e-03]
 [ 1.14716925e-02]]"
6,0.4624318,[[ 0.5135171   0.6795976  -0.0419136   0.3766734  -0.47429833]],[[-0.02912124  0.00171627 -0.03728014  0.06815352  0.07430623]],"[[ 0.00508834]
 [ 0.02103195]
 [ 0.01534225]
 [ 0.01031177]
 [ 0.00478932]
 [ 0.00512313]
 [-0.00114037]
 [ 0.00925892]
 [ 0.01534925]
 [ 0.02183365]
 [ 0.01831626]
 [-0.00910666]
 [-0.02685127]
 [-0.05411527]
 [-0.0541608 ]
 [-0.06134214]
 [-0.05014061]
 [-0.04290686]
 [-0.01824255]
 [ 0.00830708]
 [ 0.01145336]
 [ 0.0207717 ]
 [ 0.01742353]
 [ 0.01164849]
 [ 0.00256185]
 [ 0.00655533]
 [ 0.00695091]
 [ 0.00915991]
 [ 0.01648415]
 [ 0.02187322]
 [ 0.00090679]
 [ 0.00179573]
 [-0.02926092]
 [-0.04883172]
 [-0.06856082]
 [-0.06606551]
 [-0.04900616]
 [-0.03976342]
 [-0.02445728]
 [ 0.00146065]
 [ 0.01815158]
 [ 0.01682848]
 [ 0.01146366]
 [ 0.00819878]
 [ 0.00608466]
 [ 0.00621389]
 [ 0.00308354]
 [ 0.0173738 ]
 [ 0.01925614]
 [ 0.02117799]
 [ 0.00347883]
 [-0.02683714]
 [-0.02665086]
 [-0.04784311]
 [-0.05348832]
 [-0.06868043]
 [-0.05239649]
 [-0.03643891]
 [-0.01510719]
 [ 0.02116579]
 [ 0.02157756]
 [ 0.01476388]
 [ 0.01343971]
 [ 0.00790203]
 [ 0.00717575]
 [ 0.00791866]
 [ 0.00665337]
 [ 0.01315285]
 [ 0.02029096]
 [ 0.02007245]
 [-0.00338012]
 [-0.02363764]
 [-0.0369691 ]
 [-0.05353513]
 [-0.06360732]
 [-0.04675754]
 [-0.05696127]
 [-0.03861482]
 [-0.0256044 ]
 [ 0.01369906]
 [ 0.02169498]
 [ 0.01572155]
 [ 0.01080378]
 [ 0.00371876]
 [ 0.00697129]
 [ 0.00239469]
 [ 0.00679359]
 [ 0.01702526]
 [ 0.02162199]
 [ 0.01431751]
 [-0.00307067]
 [-0.03414458]
 [-0.05194791]
 [-0.05947465]
 [-0.05283032]
 [-0.04514663]
 [-0.05157431]
 [-0.01478285]
 [-0.00911256]
 [ 0.01178136]]"
7,0.45576575,[[ 0.5157904   0.68034625 -0.04070687  0.36960548 -0.48215657]],[[-0.02273328 -0.00748606 -0.01206734  0.07067907  0.07858249]],"[[ 0.00408884]
 [ 0.02308725]
 [ 0.02057763]
 [ 0.01619562]
 [ 0.01138508]
 [ 0.01167585]
 [ 0.00682292]
 [ 0.01527849]
 [ 0.02058373]
 [ 0.02340711]
 [ 0.01863663]
 [-0.01127296]
 [-0.03047615]
 [-0.06027087]
 [-0.06032493]
 [-0.06884989]
 [-0.05567984]
 [-0.04785147]
 [-0.02115981]
 [ 0.00769615]
 [ 0.01107   ]
 [ 0.02407132]
 [ 0.02239061]
 [ 0.01736003]
 [ 0.0096083 ]
 [ 0.01292342]
 [ 0.01326801]
 [ 0.01519226]
 [ 0.02157233]
 [ 0.02344456]
 [-0.00043643]
 [ 0.00052558]
 [-0.03308387]
 [-0.05426337]
 [-0.07693088]
 [-0.07419696]
 [-0.05445212]
 [-0.04444966]
 [-0.02788538]
 [ 0.00016296]
 [ 0.01845544]
 [ 0.02187227]
 [ 0.01719902]
 [ 0.01435503]
 [ 0.01251342]
 [ 0.01262599]
 [ 0.00989968]
 [ 0.02234728]
 [ 0.02367151]
 [ 0.0227866 ]
 [ 0.00234703]
 [-0.03046086]
 [-0.03025926]
 [-0.05319349]
 [-0.05952662]
 [-0.07706192]
 [-0.05823051]
 [-0.04085188]
 [-0.01776672]
 [ 0.02277506]
 [ 0.02382609]
 [ 0.02007382]
 [ 0.01892034]
 [ 0.01409652]
 [ 0.01346387]
 [ 0.014111  ]
 [ 0.01300883]
 [ 0.01867046]
 [ 0.02395234]
 [ 0.02058171]
 [-0.00507571]
 [-0.02699837]
 [-0.04142565]
 [-0.0595822 ]
 [-0.07150371]
 [-0.05201868]
 [-0.06364936]
 [-0.04320664]
 [-0.02912679]
 [ 0.01355662]
 [ 0.02374994]
 [ 0.02090803]
 [ 0.0166242 ]
 [ 0.01045252]
 [ 0.01328577]
 [ 0.00951493]
 [ 0.01313097]
 [ 0.02204368]
 [ 0.02379727]
 [ 0.01423706]
 [-0.00474083]
 [-0.03836896]
 [-0.05769801]
 [-0.06663299]
 [-0.05874553]
 [-0.05027536]
 [-0.05725451]
 [-0.01741573]
 [-0.01127935]
 [ 0.01142172]]"
8,0.44860244,[[ 0.51815176  0.6808686  -0.04008218  0.3633061  -0.49051294]],[[-0.02361359 -0.00522356 -0.00624696  0.06299365  0.08356349]],"[[ 0.00218637]
 [ 0.02366814]
 [ 0.02437944]
 [ 0.02208013]
 [ 0.01800277]
 [ 0.01824922]
 [ 0.01417941]
 [ 0.02130278]
 [ 0.02438142]
 [ 0.02492463]
 [ 0.01828791]
 [-0.01455538]
 [-0.0354836 ]
 [-0.06795478]
 [-0.06801369]
 [-0.07730445]
 [-0.06295133]
 [-0.05441975]
 [-0.02533036]
 [ 0.00621963]
 [ 0.00987082]
 [ 0.02554043]
 [ 0.02496814]
 [ 0.02306705]
 [ 0.0164968 ]
 [ 0.01930665]
 [ 0.01959871]
 [ 0.02122969]
 [ 0.02470244]
 [ 0.02495935]
 [-0.0027454 ]
 [-0.00169697]
 [-0.03832556]
 [-0.0614076 ]
 [-0.08652674]
 [-0.08341523]
 [-0.06161332]
 [-0.05071234]
 [-0.03266008]
 [-0.00209217]
 [ 0.01808762]
 [ 0.02479983]
 [ 0.02293058]
 [ 0.02052005]
 [ 0.01895914]
 [ 0.01905455]
 [ 0.01674377]
 [ 0.02495407]
 [ 0.0254865 ]
 [ 0.02449545]
 [ 0.00028809]
 [-0.03546693]
 [-0.03524722]
 [-0.06024163]
 [-0.06714368]
 [-0.08667053]
 [-0.06573113]
 [-0.04679138]
 [-0.02163247]
 [ 0.02449545]
 [ 0.02531307]
 [ 0.02421585]
 [ 0.0238413 ]
 [ 0.02030095]
 [ 0.01976473]
 [ 0.02031322]
 [ 0.01937904]
 [ 0.02376016]
 [ 0.02566463]
 [ 0.02050735]
 [-0.00780143]
 [-0.0316934 ]
 [-0.04741668]
 [-0.06720424]
 [-0.08023499]
 [-0.05896129]
 [-0.07163674]
 [-0.04935766]
 [-0.03401302]
 [ 0.01267214]
 [ 0.02524247]
 [ 0.02448673]
 [ 0.02244339]
 [ 0.01721235]
 [ 0.01961378]
 [ 0.01641766]
 [ 0.01948257]
 [ 0.02485549]
 [ 0.02528635]
 [ 0.01342434]
 [-0.00743647]
 [-0.04408541]
 [-0.06515078]
 [-0.07488841]
 [-0.06629241]
 [-0.05706137]
 [-0.06466745]
 [-0.02124995]
 [-0.01456234]
 [ 0.01025144]]"
9,0.44129357,[[ 0.52064383  0.6789526  -0.04008218  0.36220738 -0.4994037 ]],[[-0.02492092  0.01916063  0.          0.01098727  0.08890761]],"[[-0.00123599]
 [ 0.02265386]
 [ 0.0263203 ]
 [ 0.02479099]
 [ 0.02311212]
 [ 0.0232136 ]
 [ 0.02048712]
 [ 0.02447092]
 [ 0.02632242]
 [ 0.02666684]
 [ 0.0166555 ]
 [-0.01958423]
 [-0.04252065]
 [-0.07810764]
 [-0.07817222]
 [-0.08835448]
 [-0.07262409]
 [-0.06327385]
 [-0.03139314]
 [ 0.00329237]
 [ 0.00726865]
 [ 0.02722789]
 [ 0.02695302]
 [ 0.02519736]
 [ 0.02220225]
 [ 0.023649  ]
 [ 0.02376926]
 [ 0.02444082]
 [ 0.02666744]
 [ 0.02669848]
 [-0.00664099]
 [-0.00549196]
 [-0.04563532]
 [-0.07093224]
 [-0.0985897 ]
 [-0.09505166]
 [-0.07115769]
 [-0.05921069]
 [-0.0394262 ]
 [-0.00592509]
 [ 0.0164336 ]
 [ 0.02677212]
 [ 0.02514117]
 [ 0.02414863]
 [ 0.02350591]
 [ 0.0235452 ]
 [ 0.02240922]
 [ 0.0269379 ]
 [ 0.02751015]
 [ 0.02656917]
 [-0.00331641]
 [-0.04250238]
 [-0.0422616 ]
 [-0.06965438]
 [-0.07721873]
 [-0.09875929]
 [-0.07567063]
 [-0.05491349]
 [-0.02734042]
 [ 0.0265897 ]
 [ 0.02702075]
 [ 0.02614447]
 [ 0.02574191]
 [ 0.02405841]
 [ 0.02383762]
 [ 0.02406346]
 [ 0.02367881]
 [ 0.0256547 ]
 [ 0.02734105]
 [ 0.01914591]
 [-0.01218218]
 [-0.03836676]
 [-0.05559879]
 [-0.0772851 ]
 [-0.09156625]
 [-0.06825118]
 [-0.08214295]
 [-0.05772601]
 [-0.04090896]
 [ 0.01043359]
 [ 0.02695643]
 [ 0.02643561]
 [ 0.02494056]
 [ 0.02278667]
 [ 0.02377546]
 [ 0.02213593]
 [ 0.02372144]
 [ 0.02683194]
 [ 0.02699641]
 [ 0.01126697]
 [-0.0117822 ]
 [-0.05194787]
 [-0.0750346 ]
 [-0.08570662]
 [-0.07628576]
 [-0.06616895]
 [-0.07450488]
 [-0.02692118]
 [-0.01959186]
 [ 0.00768317]]"
10,0.43349072,[[ 0.5229127   0.68059397 -0.04008218  0.35405418 -0.508827  ]],[[-0.02268877 -0.01641415  0.          0.08153192  0.09423283]],"[[-0.00827368]
 [ 0.01791642]
 [ 0.02870554]
 [ 0.0255266 ]
 [ 0.02203677]
 [ 0.02224771]
 [ 0.0192477 ]
 [ 0.02486127]
 [ 0.02870996]
 [ 0.0291505 ]
 [ 0.01154671]
 [-0.02845047]
 [-0.05367269]
 [-0.09280623]
 [-0.09287724]
 [-0.10407424]
 [-0.08677619]
 [-0.07649412]
 [-0.04143624]
 [-0.00319058]
 [ 0.0011359 ]
 [ 0.02966614]
 [ 0.02970077]
 [ 0.02637132]
 [ 0.02074781]
 [ 0.02315278]
 [ 0.02340275]
 [ 0.02479871]
 [ 0.02939326]
 [ 0.02917957]
 [-0.01421734]
 [-0.0129538 ]
 [-0.05709777]
 [-0.08491574]
 [-0.11532947]
 [-0.11143884]
 [-0.08516366]
 [-0.07202603]
 [-0.05026986]
 [-0.01343009]
 [ 0.01130235]
 [ 0.02950598]
 [ 0.02625451]
 [ 0.02419133]
 [ 0.02285534]
 [ 0.022937  ]
 [ 0.02095919]
 [ 0.02968449]
 [ 0.029994  ]
 [ 0.02577622]
 [-0.01056144]
 [-0.05365261]
 [-0.05338781]
 [-0.08351052]
 [-0.09182871]
 [-0.11551598]
 [-0.09012635]
 [-0.06730057]
 [-0.03697964]
 [ 0.025498  ]
 [ 0.02947576]
 [ 0.02834004]
 [ 0.02750325]
 [ 0.0240038 ]
 [ 0.02354484]
 [ 0.02401431]
 [ 0.02321473]
 [ 0.02732198]
 [ 0.02977014]
 [ 0.01407368]
 [-0.02031076]
 [-0.04910484]
 [-0.06805418]
 [-0.0919017 ]
 [-0.10760608]
 [-0.08196749]
 [-0.09724367]
 [-0.07039341]
 [-0.05190038]
 [ 0.00469533]
 [ 0.02941664]
 [ 0.02894523]
 [ 0.02583752]
 [ 0.02136026]
 [ 0.02341564]
 [ 0.02068008]
 [ 0.02330334]
 [ 0.0295704 ]
 [ 0.02945339]
 [ 0.00561303]
 [-0.01987091]
 [-0.06403941]
 [-0.08942693]
 [-0.10116249]
 [-0.09080279]
 [-0.07967775]
 [-0.08884442]
 [-0.03651862]
 [-0.02845886]
 [ 0.00158693]]"
